step,wallclock_seconds,split,layer,mean_l2_norm
0,1.9298955480000002,train,0,22.627296447753906
0,1.9298955480000002,train,1,22.627323150634766
0,1.9298955480000002,train,2,22.62732696533203
0,1.9298955480000002,train,3,22.627334594726562
0,1.972650578,valid,0,22.627296447753906
0,1.972650578,valid,1,22.627323150634766
0,1.972650578,valid,2,22.62732696533203
0,1.972650578,valid,3,22.627334594726562
10,3.131660336,train,0,22.626678466796875
10,3.131660336,train,1,22.62741470336914
10,3.131660336,train,2,22.62717056274414
10,3.131660336,train,3,22.628952026367188
20,4.27592666,train,0,22.62318229675293
20,4.27592666,train,1,22.628664016723633
20,4.27592666,train,2,22.633922576904297
20,4.27592666,train,3,22.660972595214844
30,5.421448127,train,0,22.618154525756836
30,5.421448127,train,1,22.624853134155273
30,5.421448127,train,2,22.62745475769043
30,5.421448127,train,3,22.716920852661133
40,6.567063171000001,train,0,22.60634994506836
40,6.567063171000001,train,1,22.616199493408203
40,6.567063171000001,train,2,22.620559692382812
40,6.567063171000001,train,3,22.811145782470703
50,7.712803492000001,train,0,22.585586547851562
50,7.712803492000001,train,1,22.60104751586914
50,7.712803492000001,train,2,22.61281967163086
50,7.712803492000001,train,3,22.931251525878906
60,8.858379589,train,0,22.561429977416992
60,8.858379589,train,1,22.585376739501953
60,8.858379589,train,2,22.607467651367188
60,8.858379589,train,3,23.057628631591797
70,10.005258074,train,0,22.53911590576172
70,10.005258074,train,1,22.570491790771484
70,10.005258074,train,2,22.601755142211914
70,10.005258074,train,3,23.172365188598633
80,11.150799266,train,0,22.518268585205078
80,11.150799266,train,1,22.55665397644043
80,11.150799266,train,2,22.595714569091797
80,11.150799266,train,3,23.272003173828125
90,12.296420625,train,0,22.5007381439209
90,12.296420625,train,1,22.54113006591797
90,12.296420625,train,2,22.587860107421875
90,12.296420625,train,3,23.360286712646484
100,13.442048286,train,0,22.484630584716797
100,13.442048286,train,1,22.523319244384766
100,13.442048286,train,2,22.57682991027832
100,13.442048286,train,3,23.444133758544922
100,13.48180029,valid,0,22.482643127441406
100,13.48180029,valid,1,22.52138328552246
100,13.48180029,valid,2,22.575450897216797
100,13.48180029,valid,3,23.452743530273438
110,14.628461909,train,0,22.466440200805664
110,14.628461909,train,1,22.505481719970703
110,14.628461909,train,2,22.563613891601562
110,14.628461909,train,3,23.533021926879883
120,15.773775899000002,train,0,22.447154998779297
120,15.773775899000002,train,1,22.488412857055664
120,15.773775899000002,train,2,22.550119400024414
120,15.773775899000002,train,3,23.616748809814453
130,16.919957338,train,0,22.427614212036133
130,16.919957338,train,1,22.470355987548828
130,16.919957338,train,2,22.539546966552734
130,16.919957338,train,3,23.699209213256836
140,18.06539577,train,0,22.40755844116211
140,18.06539577,train,1,22.44705581665039
140,18.06539577,train,2,22.53009796142578
140,18.06539577,train,3,23.781600952148438
150,19.210589566,train,0,22.381088256835938
150,19.210589566,train,1,22.418107986450195
150,19.210589566,train,2,22.52098846435547
150,19.210589566,train,3,23.869728088378906
160,20.356027408,train,0,22.351490020751953
160,20.356027408,train,1,22.39688491821289
160,20.356027408,train,2,22.508224487304688
160,20.356027408,train,3,23.943649291992188
170,21.501495943,train,0,22.334644317626953
170,21.501495943,train,1,22.373126983642578
170,21.501495943,train,2,22.501121520996094
170,21.501495943,train,3,24.019107818603516
180,22.647174414,train,0,22.310169219970703
180,22.647174414,train,1,22.34325408935547
180,22.647174414,train,2,22.49679183959961
180,22.647174414,train,3,24.108667373657227
190,23.793016008,train,0,22.27598762512207
190,23.793016008,train,1,22.30538558959961
190,23.793016008,train,2,22.480060577392578
190,23.793016008,train,3,24.19829559326172
200,24.939329395999998,train,0,22.239248275756836
200,24.939329395999998,train,1,22.266454696655273
200,24.939329395999998,train,2,22.47024154663086
200,24.939329395999998,train,3,24.286272048950195
200,24.979130299999998,valid,0,22.234901428222656
200,24.979130299999998,valid,1,22.261802673339844
200,24.979130299999998,valid,2,22.46729278564453
200,24.979130299999998,valid,3,24.300559997558594
210,26.125120489,train,0,22.203495025634766
210,26.125120489,train,1,22.22479248046875
210,26.125120489,train,2,22.460163116455078
210,26.125120489,train,3,24.373035430908203
220,27.270039089999997,train,0,22.16598892211914
220,27.270039089999997,train,1,22.179840087890625
220,27.270039089999997,train,2,22.452001571655273
220,27.270039089999997,train,3,24.458324432373047
230,28.416860702999998,train,0,22.131175994873047
230,28.416860702999998,train,1,22.139543533325195
230,28.416860702999998,train,2,22.441598892211914
230,28.416860702999998,train,3,24.54172134399414
240,29.561873285999997,train,0,22.100990295410156
240,29.561873285999997,train,1,22.100494384765625
240,29.561873285999997,train,2,22.427688598632812
240,29.561873285999997,train,3,24.629688262939453
250,30.707411872,train,0,22.07105255126953
250,30.707411872,train,1,22.064544677734375
250,30.707411872,train,2,22.414413452148438
250,30.707411872,train,3,24.717967987060547
260,31.852867994,train,0,22.04320526123047
260,31.852867994,train,1,22.033132553100586
260,31.852867994,train,2,22.404342651367188
260,31.852867994,train,3,24.797096252441406
270,32.997915520999996,train,0,22.017162322998047
270,32.997915520999996,train,1,22.002283096313477
270,32.997915520999996,train,2,22.399654388427734
270,32.997915520999996,train,3,24.879756927490234
280,34.142924373999996,train,0,21.99272918701172
280,34.142924373999996,train,1,21.972244262695312
280,34.142924373999996,train,2,22.394472122192383
280,34.142924373999996,train,3,24.95954132080078
290,35.289007373,train,0,21.966785430908203
290,35.289007373,train,1,21.9417781829834
290,35.289007373,train,2,22.383621215820312
290,35.289007373,train,3,25.03992462158203
300,36.434657846,train,0,21.94446563720703
300,36.434657846,train,1,21.91550636291504
300,36.434657846,train,2,22.372716903686523
300,36.434657846,train,3,25.123088836669922
300,36.474798455,valid,0,21.942676544189453
300,36.474798455,valid,1,21.912616729736328
300,36.474798455,valid,2,22.36922836303711
300,36.474798455,valid,3,25.133628845214844
310,37.621383549,train,0,21.92255401611328
310,37.621383549,train,1,21.888439178466797
310,37.621383549,train,2,22.361576080322266
310,37.621383549,train,3,25.202484130859375
320,38.767011378,train,0,21.903467178344727
320,38.767011378,train,1,21.865278244018555
320,38.767011378,train,2,22.359201431274414
320,38.767011378,train,3,25.27782440185547
330,39.913483809999995,train,0,21.88510513305664
330,39.913483809999995,train,1,21.84133529663086
330,39.913483809999995,train,2,22.34890365600586
330,39.913483809999995,train,3,25.35538673400879
340,41.059226631,train,0,21.86599349975586
340,41.059226631,train,1,21.81926155090332
340,41.059226631,train,2,22.343219757080078
340,41.059226631,train,3,25.43178939819336
350,42.204979131,train,0,21.849334716796875
350,42.204979131,train,1,21.796226501464844
350,42.204979131,train,2,22.331838607788086
350,42.204979131,train,3,25.507726669311523
360,43.351267127,train,0,21.834087371826172
360,43.351267127,train,1,21.77608871459961
360,43.351267127,train,2,22.321910858154297
360,43.351267127,train,3,25.580476760864258
370,44.497388504999996,train,0,21.817401885986328
370,44.497388504999996,train,1,21.753732681274414
370,44.497388504999996,train,2,22.321056365966797
370,44.497388504999996,train,3,25.655691146850586
380,45.643245364,train,0,21.801088333129883
380,45.643245364,train,1,21.735748291015625
380,45.643245364,train,2,22.315399169921875
380,45.643245364,train,3,25.730182647705078
390,46.788810831999996,train,0,21.783647537231445
390,46.788810831999996,train,1,21.715423583984375
390,46.788810831999996,train,2,22.303428649902344
390,46.788810831999996,train,3,25.805965423583984
400,47.935099924999996,train,0,21.769067764282227
400,47.935099924999996,train,1,21.69856071472168
400,47.935099924999996,train,2,22.293251037597656
400,47.935099924999996,train,3,25.866558074951172
400,47.975317663,valid,0,21.767822265625
400,47.975317663,valid,1,21.696887969970703
400,47.975317663,valid,2,22.29543685913086
400,47.975317663,valid,3,25.87701416015625
410,49.1217659,train,0,21.754247665405273
410,49.1217659,train,1,21.683155059814453
410,49.1217659,train,2,22.291854858398438
410,49.1217659,train,3,25.93984603881836
420,50.268012461,train,0,21.741186141967773
420,50.268012461,train,1,21.666032791137695
420,50.268012461,train,2,22.29193115234375
420,50.268012461,train,3,26.004608154296875
430,51.414372571,train,0,21.728229522705078
430,51.414372571,train,1,21.651119232177734
430,51.414372571,train,2,22.290430068969727
430,51.414372571,train,3,26.072336196899414
440,52.560571313,train,0,21.713787078857422
440,52.560571313,train,1,21.632766723632812
440,52.560571313,train,2,22.27541732788086
440,52.560571313,train,3,26.141054153442383
450,53.706173924,train,0,21.703657150268555
450,53.706173924,train,1,21.61367416381836
450,53.706173924,train,2,22.269271850585938
450,53.706173924,train,3,26.205364227294922
460,54.852119867,train,0,21.69277572631836
460,54.852119867,train,1,21.59956169128418
460,54.852119867,train,2,22.26119613647461
460,54.852119867,train,3,26.272241592407227
470,55.998489658,train,0,21.680686950683594
470,55.998489658,train,1,21.582502365112305
470,55.998489658,train,2,22.25912857055664
470,55.998489658,train,3,26.33173179626465
480,57.14461499,train,0,21.667346954345703
480,57.14461499,train,1,21.56705093383789
480,57.14461499,train,2,22.257469177246094
480,57.14461499,train,3,26.397117614746094
490,58.290930589,train,0,21.655841827392578
490,58.290930589,train,1,21.54941749572754
490,58.290930589,train,2,22.233713150024414
490,58.290930589,train,3,26.46017074584961
500,59.437075751,train,0,21.64381980895996
500,59.437075751,train,1,21.536745071411133
500,59.437075751,train,2,22.240482330322266
500,59.437075751,train,3,26.514284133911133
500,59.477053042,valid,0,21.642593383789062
500,59.477053042,valid,1,21.53301429748535
500,59.477053042,valid,2,22.233509063720703
500,59.477053042,valid,3,26.52389907836914
510,60.623714841,train,0,21.633846282958984
510,60.623714841,train,1,21.522933959960938
510,60.623714841,train,2,22.243623733520508
510,60.623714841,train,3,26.58087158203125
520,61.769941296999995,train,0,21.622665405273438
520,61.769941296999995,train,1,21.502304077148438
520,61.769941296999995,train,2,22.22031593322754
520,61.769941296999995,train,3,26.64430809020996
530,62.915783229999995,train,0,21.610279083251953
530,62.915783229999995,train,1,21.491531372070312
530,62.915783229999995,train,2,22.229660034179688
530,62.915783229999995,train,3,26.697845458984375
540,64.063019033,train,0,21.600994110107422
540,64.063019033,train,1,21.476852416992188
540,64.063019033,train,2,22.219219207763672
540,64.063019033,train,3,26.74712371826172
550,65.208947177,train,0,21.591506958007812
550,65.208947177,train,1,21.461483001708984
550,65.208947177,train,2,22.218130111694336
550,65.208947177,train,3,26.800987243652344
560,66.35492002000001,train,0,21.582162857055664
560,66.35492002000001,train,1,21.445636749267578
560,66.35492002000001,train,2,22.201274871826172
560,66.35492002000001,train,3,26.857505798339844
570,67.501246842,train,0,21.571331024169922
570,67.501246842,train,1,21.432815551757812
570,67.501246842,train,2,22.211763381958008
