step,wallclock_seconds,split,loss
0,1.9292400070000002,train,9.269354820251465
0,1.972045917,valid,9.268486022949219
10,3.130981626,train,8.620664596557617
20,4.275296959,train,7.503555774688721
30,5.420810627,train,6.159802436828613
40,6.566459440000001,train,5.032595634460449
50,7.712065433000001,train,4.427908420562744
60,8.857796498,train,4.045148849487305
70,10.004609153,train,3.771949052810669
80,11.150128456000001,train,3.6882810592651367
90,12.295694646000001,train,3.5688695907592773
100,13.441396065000001,train,3.5193300247192383
100,13.481364397,valid,3.464872360229492
110,14.627136379000001,train,3.37626314163208
120,15.773335095000002,train,3.3043406009674072
130,16.919342006999997,train,3.2247068881988525
140,18.064809947999997,train,3.1727545261383057
150,19.209913955999998,train,3.1670703887939453
160,20.355232258999997,train,3.090635299682617
170,21.500893781,train,2.97306227684021
180,22.646213638,train,2.8938162326812744
190,23.792309598,train,2.775291919708252
200,24.937642050999997,train,2.8199846744537354
200,24.978625638,valid,2.836200475692749
210,26.124598796999997,train,2.7406649589538574
220,27.269571755999998,train,2.744473934173584
230,28.414726163999998,train,2.666290760040283
240,29.561407783,train,2.62847900390625
250,30.706494225,train,2.5794076919555664
260,31.852387430999997,train,2.4837217330932617
270,32.997415718,train,2.4701502323150635
280,34.142453491,train,2.5135042667388916
290,35.288263354,train,2.4323129653930664
300,36.434098524999996,train,2.4094398021698
300,36.474340082,valid,2.4903459548950195
310,37.620858966,train,2.4163546562194824
320,38.766463626,train,2.44083833694458
330,39.91281734,train,2.355196714401245
340,41.058664959,train,2.371821880340576
350,42.204402519,train,2.3054592609405518
360,43.350205732999996,train,2.260523796081543
370,44.496777703999996,train,2.3083078861236572
380,45.642727182,train,2.283987045288086
390,46.78824544,train,2.270185947418213
400,47.934444965,train,2.213385820388794
400,47.97479338,valid,2.22770357131958
410,49.121200628,train,2.254756212234497
420,50.266905257,train,2.2363929748535156
430,51.41376613,train,2.2604494094848633
440,52.559883432999996,train,2.2014482021331787
450,53.705530203,train,2.1941893100738525
460,54.85125813,train,2.1641454696655273
470,55.99764627,train,2.1421852111816406
480,57.14397246,train,2.141913652420044
490,58.29016144,train,2.0824007987976074
500,59.436373391,train,2.122546672821045
500,59.476559989,valid,2.1567859649658203
510,60.622888993,train,2.0962421894073486
520,61.76911335,train,2.115509510040283
530,62.914747465,train,2.1571478843688965
540,64.062229175,train,2.1082773208618164
550,65.208179688,train,2.08634614944458
560,66.354040693,train,2.0266740322113037
570,67.500494473,train,2.068977117538452
580,68.646986651,train,2.0846309661865234
590,69.79353129100001,train,2.051906108856201
600,70.94068824,train,2.068804979324341
600,70.980728939,valid,2.075695753097534
610,72.12625936500001,train,2.0481863021850586
620,73.271379459,train,1.9950361251831055
630,74.41617748600001,train,2.0134286880493164
640,75.561747616,train,2.073026657104492
650,76.707938799,train,2.0214905738830566
660,77.853358657,train,1.9801353216171265
670,78.99892925,train,2.0597877502441406
680,80.145073338,train,1.9836454391479492
690,81.29019245100001,train,1.9703985452651978
700,82.435303468,train,1.991349220275879
700,82.47547509500001,valid,1.9891690015792847
710,83.62110946300001,train,1.9619933366775513
720,84.766186054,train,1.9742159843444824
730,85.91282551100001,train,1.9869465827941895
740,87.059000986,train,2.042724609375
750,88.204065138,train,1.954590082168579
760,89.34995886600001,train,1.9583282470703125
770,90.494824834,train,1.993943691253662
780,91.639833224,train,2.0169501304626465
790,92.78483596000001,train,1.9647921323776245
800,93.930175316,train,1.8901267051696777
800,93.97002835800001,valid,1.9435094594955444
810,95.115471591,train,1.9995005130767822
820,96.26191995100001,train,1.9051024913787842
830,97.406911019,train,1.9242370128631592
840,98.552283274,train,1.8889200687408447
850,99.697398272,train,1.9734745025634766
860,100.842530259,train,1.9578113555908203
870,101.987716135,train,1.8273353576660156
880,103.13290058000001,train,1.8789255619049072
890,104.277992776,train,1.9830690622329712
900,105.42291772,train,1.942794680595398
900,105.46288137200001,valid,1.8798534870147705
910,106.608781002,train,1.9336694478988647
920,107.75388652800001,train,1.8731659650802612
930,108.89912816200001,train,1.896725058555603
940,110.04433094500001,train,1.9752542972564697
950,111.18945525100001,train,1.9112493991851807
960,112.33462981400001,train,1.9278589487075806
970,113.479817968,train,1.9068421125411987
980,114.627501135,train,1.8491501808166504
990,115.77268054700001,train,1.8790836334228516
