step,wallclock_seconds,split,layer,mean_l2_norm
0,2.3547295029999997,train,0,22.627296447753906
0,2.3547295029999997,train,1,22.627323150634766
0,2.3547295029999997,train,2,22.62732696533203
0,2.3547295029999997,train,3,22.627330780029297
0,2.3977887439999996,valid,0,22.627296447753906
0,2.3977887439999996,valid,1,22.627323150634766
0,2.3977887439999996,valid,2,22.62732696533203
0,2.3977887439999996,valid,3,22.62733268737793
10,3.556624458,train,0,22.626699447631836
10,3.556624458,train,1,22.62729263305664
10,3.556624458,train,2,22.627838134765625
10,3.556624458,train,3,22.629432678222656
20,4.704278735,train,0,22.62381935119629
20,4.704278735,train,1,22.628732681274414
20,4.704278735,train,2,22.635671615600586
20,4.704278735,train,3,22.660621643066406
30,5.851590623000001,train,0,22.61960792541504
30,5.851590623000001,train,1,22.62427520751953
30,5.851590623000001,train,2,22.63094711303711
30,5.851590623000001,train,3,22.717079162597656
40,7.001317083999999,train,0,22.607728958129883
40,7.001317083999999,train,1,22.614530563354492
40,7.001317083999999,train,2,22.625858306884766
40,7.001317083999999,train,3,22.811717987060547
50,8.149033734,train,0,22.585250854492188
50,8.149033734,train,1,22.599925994873047
50,8.149033734,train,2,22.621902465820312
50,8.149033734,train,3,22.93062400817871
60,9.296426319999998,train,0,22.560970306396484
60,9.296426319999998,train,1,22.584745407104492
60,9.296426319999998,train,2,22.61914825439453
60,9.296426319999998,train,3,23.056682586669922
70,10.443990331999998,train,0,22.537979125976562
70,10.443990331999998,train,1,22.570388793945312
70,10.443990331999998,train,2,22.614574432373047
70,10.443990331999998,train,3,23.172897338867188
80,11.591134298,train,0,22.518878936767578
80,11.591134298,train,1,22.557804107666016
80,11.591134298,train,2,22.606246948242188
80,11.591134298,train,3,23.271581649780273
90,12.738253061000002,train,0,22.50452995300293
90,12.738253061000002,train,1,22.54477310180664
90,12.738253061000002,train,2,22.594512939453125
90,12.738253061000002,train,3,23.360679626464844
100,13.885349876,train,0,22.488037109375
100,13.885349876,train,1,22.531978607177734
100,13.885349876,train,2,22.581745147705078
100,13.885349876,train,3,23.448780059814453
100,13.925930992999998,valid,0,22.486328125
100,13.925930992999998,valid,1,22.530765533447266
100,13.925930992999998,valid,2,22.579952239990234
100,13.925930992999998,valid,3,23.456798553466797
110,15.074284181,train,0,22.469032287597656
110,15.074284181,train,1,22.51979637145996
110,15.074284181,train,2,22.56930160522461
110,15.074284181,train,3,23.534013748168945
120,16.221534103,train,0,22.44904899597168
120,16.221534103,train,1,22.504180908203125
120,16.221534103,train,2,22.555469512939453
120,16.221534103,train,3,23.614328384399414
130,17.368959879,train,0,22.429370880126953
130,17.368959879,train,1,22.487762451171875
130,17.368959879,train,2,22.5416316986084
130,17.368959879,train,3,23.687911987304688
140,18.515997049,train,0,22.40510368347168
140,18.515997049,train,1,22.469451904296875
140,18.515997049,train,2,22.53142738342285
140,18.515997049,train,3,23.768613815307617
150,19.663255465,train,0,22.382305145263672
150,19.663255465,train,1,22.44651222229004
150,19.663255465,train,2,22.520402908325195
150,19.663255465,train,3,23.851451873779297
160,20.811540875,train,0,22.3530216217041
160,20.811540875,train,1,22.41590118408203
160,20.811540875,train,2,22.513111114501953
160,20.811540875,train,3,23.932600021362305
170,21.958898608,train,0,22.321300506591797
170,21.958898608,train,1,22.38663673400879
170,21.958898608,train,2,22.503185272216797
170,21.958898608,train,3,24.015647888183594
180,23.105748837,train,0,22.286375045776367
180,23.105748837,train,1,22.354610443115234
180,23.105748837,train,2,22.499523162841797
180,23.105748837,train,3,24.096332550048828
190,24.256007759,train,0,22.242738723754883
190,24.256007759,train,1,22.315811157226562
190,24.256007759,train,2,22.484355926513672
190,24.256007759,train,3,24.182655334472656
200,25.404691128,train,0,22.200437545776367
200,25.404691128,train,1,22.274673461914062
200,25.404691128,train,2,22.478837966918945
200,25.404691128,train,3,24.270042419433594
200,25.445759869,valid,0,22.196659088134766
200,25.445759869,valid,1,22.270244598388672
200,25.445759869,valid,2,22.478858947753906
200,25.445759869,valid,3,24.278383255004883
210,26.593349116,train,0,22.162513732910156
210,26.593349116,train,1,22.23042869567871
210,26.593349116,train,2,22.470531463623047
210,26.593349116,train,3,24.352130889892578
220,27.739775578,train,0,22.127538681030273
220,27.739775578,train,1,22.191545486450195
220,27.739775578,train,2,22.457216262817383
220,27.739775578,train,3,24.439834594726562
230,28.886636111999998,train,0,22.096691131591797
230,28.886636111999998,train,1,22.155033111572266
230,28.886636111999998,train,2,22.44744873046875
230,28.886636111999998,train,3,24.523303985595703
240,30.03478266,train,0,22.067089080810547
240,30.03478266,train,1,22.11850929260254
240,30.03478266,train,2,22.4383544921875
240,30.03478266,train,3,24.609355926513672
250,31.185154670999996,train,0,22.041290283203125
250,31.185154670999996,train,1,22.087474822998047
250,31.185154670999996,train,2,22.435720443725586
250,31.185154670999996,train,3,24.6888427734375
260,32.334269815000006,train,0,22.014083862304688
260,32.334269815000006,train,1,22.05388641357422
260,32.334269815000006,train,2,22.418010711669922
260,32.334269815000006,train,3,24.76938247680664
270,33.481524918000005,train,0,21.988828659057617
270,33.481524918000005,train,1,22.02619743347168
270,33.481524918000005,train,2,22.413589477539062
270,33.481524918000005,train,3,24.847145080566406
280,34.628608452,train,0,21.964452743530273
280,34.628608452,train,1,21.997966766357422
280,34.628608452,train,2,22.405738830566406
280,34.628608452,train,3,24.92818832397461
290,35.77595281,train,0,21.943986892700195
290,35.77595281,train,1,21.96949005126953
290,35.77595281,train,2,22.39727020263672
290,35.77595281,train,3,25.006881713867188
300,36.923161859000004,train,0,21.921480178833008
300,36.923161859000004,train,1,21.945152282714844
300,36.923161859000004,train,2,22.397573471069336
300,36.923161859000004,train,3,25.08271026611328
300,36.963872133,valid,0,21.918861389160156
300,36.963872133,valid,1,21.941774368286133
300,36.963872133,valid,2,22.393341064453125
300,36.963872133,valid,3,25.0921573638916
310,38.11104,train,0,21.899972915649414
310,38.11104,train,1,21.918994903564453
310,38.11104,train,2,22.386669158935547
310,38.11104,train,3,25.15838623046875
320,39.258342920000004,train,0,21.87955093383789
320,39.258342920000004,train,1,21.894351959228516
320,39.258342920000004,train,2,22.379167556762695
320,39.258342920000004,train,3,25.244258880615234
330,40.406183823,train,0,21.859294891357422
330,40.406183823,train,1,21.869644165039062
330,40.406183823,train,2,22.36870002746582
330,40.406183823,train,3,25.316204071044922
340,41.552811350000006,train,0,21.838176727294922
340,41.552811350000006,train,1,21.848182678222656
340,41.552811350000006,train,2,22.35796546936035
340,41.552811350000006,train,3,25.391353607177734
350,42.69993052,train,0,21.81665802001953
350,42.69993052,train,1,21.826358795166016
350,42.69993052,train,2,22.348676681518555
350,42.69993052,train,3,25.46797752380371
360,43.847206176,train,0,21.801654815673828
360,43.847206176,train,1,21.80390167236328
360,43.847206176,train,2,22.345802307128906
360,43.847206176,train,3,25.54783058166504
370,44.994347243,train,0,21.784095764160156
370,44.994347243,train,1,21.786663055419922
370,44.994347243,train,2,22.345226287841797
370,44.994347243,train,3,25.617341995239258
380,46.141291905,train,0,21.766891479492188
380,46.141291905,train,1,21.765270233154297
