step,wallclock_seconds,split,loss
0,2.353520927,train,9.244937896728516
0,2.3973321490000004,valid,9.25383472442627
10,3.555909906,train,8.605409622192383
20,4.703517743,train,7.479277610778809
30,5.850821332,train,6.146414756774902
40,7.0004654230000005,train,5.033133029937744
50,8.147904947,train,4.455718994140625
60,9.295690298,train,3.9997291564941406
70,10.443182941,train,3.812225818634033
80,11.590353297,train,3.671769618988037
90,12.737605468000002,train,3.6052722930908203
100,13.884578954999999,train,3.470400333404541
100,13.925200751999999,valid,3.4572086334228516
110,15.07258926,train,3.3949427604675293
120,16.220734322,train,3.32114315032959
130,17.368079389,train,3.2807540893554688
140,18.515166709,train,3.198655605316162
150,19.662418515,train,3.1461710929870605
160,20.810137111,train,3.0602290630340576
170,21.958136516,train,2.988503932952881
180,23.104969446,train,2.8900234699249268
190,24.255087139,train,2.9528849124908447
200,25.403740429,train,2.756502628326416
200,25.445186775,valid,2.734233856201172
210,26.592526815,train,2.707333564758301
220,27.739015306,train,2.665656805038452
230,28.885842691,train,2.6073765754699707
240,30.033790182,train,2.622741460800171
250,31.183980355,train,2.6146726608276367
260,32.333481334000005,train,2.607409715652466
270,33.480154664000004,train,2.497373104095459
280,34.627793612000005,train,2.530989408493042
290,35.775065330000004,train,2.4708638191223145
300,36.922234589000006,train,2.4103684425354004
300,36.963156842000004,valid,2.462582588195801
310,38.1101539,train,2.433286190032959
320,39.257467690000006,train,2.4119458198547363
330,40.405372563,train,2.4078187942504883
340,41.552014159,train,2.331519603729248
350,42.699173799,train,2.3260536193847656
360,43.846265797,train,2.335111379623413
370,44.993585601,train,2.336562156677246
380,46.140110418000006,train,2.34763240814209
390,47.287583689,train,2.3153700828552246
400,48.434137972,train,2.3304224014282227
400,48.475539819000005,valid,2.304734706878662
410,49.622198442000006,train,2.2242324352264404
420,50.770921444,train,2.27376389503479
430,51.918063752,train,2.2210564613342285
440,53.064568223,train,2.245238780975342
450,54.211605053,train,2.1739859580993652
460,55.358556436,train,2.2025318145751953
470,56.505642422,train,2.187206268310547
480,57.652585730000006,train,2.240180492401123
490,58.799337911,train,2.1460041999816895
500,59.946892111000004,train,2.238203525543213
500,59.989185997,valid,2.1573171615600586
510,61.137043627000004,train,2.10020112991333
520,62.286004176000006,train,2.105799913406372
530,63.436215618000006,train,2.131645441055298
540,64.583862435,train,2.1124744415283203
550,65.733513214,train,2.0801498889923096
