step,wallclock_seconds,split,layer,mean_l2_norm
0,8.06238894,train,0,22.627296447753906
0,8.06238894,train,1,22.627323150634766
0,8.06238894,train,2,22.62732696533203
0,8.06238894,train,3,22.62733268737793
0,8.127615116,valid,0,22.627296447753906
0,8.127615116,valid,1,22.627323150634766
0,8.127615116,valid,2,22.62732696533203
0,8.127615116,valid,3,22.62733268737793
10,9.704936398000001,train,0,22.626850128173828
10,9.704936398000001,train,1,22.627330780029297
10,9.704936398000001,train,2,22.6275691986084
10,9.704936398000001,train,3,22.62791633605957
20,11.260613816,train,0,22.623655319213867
20,11.260613816,train,1,22.628528594970703
20,11.260613816,train,2,22.635208129882812
20,11.260613816,train,3,22.657947540283203
30,12.814207564,train,0,22.617929458618164
30,12.814207564,train,1,22.622852325439453
30,12.814207564,train,2,22.62939453125
30,12.814207564,train,3,22.714338302612305
40,14.366211112999999,train,0,22.604949951171875
40,14.366211112999999,train,1,22.613712310791016
40,14.366211112999999,train,2,22.62274169921875
40,14.366211112999999,train,3,22.80902099609375
50,15.919068244000002,train,0,22.58306121826172
50,15.919068244000002,train,1,22.601421356201172
50,15.919068244000002,train,2,22.616260528564453
50,15.919068244000002,train,3,22.931262969970703
60,17.472401506,train,0,22.560298919677734
60,17.472401506,train,1,22.588268280029297
60,17.472401506,train,2,22.612260818481445
60,17.472401506,train,3,23.05914878845215
70,19.024705175,train,0,22.538450241088867
70,19.024705175,train,1,22.575166702270508
70,19.024705175,train,2,22.605472564697266
70,19.024705175,train,3,23.183860778808594
80,20.577411401,train,0,22.519237518310547
80,20.577411401,train,1,22.56380844116211
80,20.577411401,train,2,22.59514617919922
80,20.577411401,train,3,23.29787826538086
90,22.130711863000002,train,0,22.502317428588867
90,22.130711863000002,train,1,22.552539825439453
90,22.130711863000002,train,2,22.58148193359375
90,22.130711863000002,train,3,23.40399932861328
100,23.685243226,train,0,22.482955932617188
100,23.685243226,train,1,22.539081573486328
100,23.685243226,train,2,22.56043243408203
100,23.685243226,train,3,23.51312828063965
100,23.744659013,valid,0,22.481050491333008
100,23.744659013,valid,1,22.537120819091797
100,23.744659013,valid,2,22.556589126586914
100,23.744659013,valid,3,23.522117614746094
110,25.297069124,train,0,22.460567474365234
110,25.297069124,train,1,22.517824172973633
