step,wallclock_seconds,split,loss
0,8.058518739,train,9.294017791748047
0,8.123274183,valid,9.294002532958984
10,9.701021685,train,8.698841094970703
20,11.255825295000001,train,7.563899040222168
30,12.809227580000002,train,6.216002464294434
40,14.362109757999999,train,5.030073165893555
50,15.914385718000002,train,4.403118133544922
60,17.468593015,train,3.910645008087158
70,19.021082713000002,train,3.510219097137451
80,20.572541641,train,3.397885322570801
90,22.124938305,train,3.263794422149658
100,23.681453508,train,3.1036465167999268
100,23.740816663,valid,3.084914207458496
110,25.293377182,train,3.014070987701416
120,26.845231158999997,train,2.9321231842041016
130,28.399995485999998,train,2.826833724975586
140,29.958021284999997,train,2.666501998901367
150,31.511220538,train,2.6668872833251953
160,33.064492427000005,train,2.6281142234802246
170,34.617974755000006,train,2.5681657791137695
180,36.176399131,train,2.5197947025299072
190,37.727268713,train,2.464822292327881
200,39.281241814,train,2.5007004737854004
200,39.341441882,valid,2.4601869583129883
210,40.894198672,train,2.3796780109405518
220,42.4521678,train,2.3788909912109375
230,44.004237102999994,train,2.3649799823760986
240,45.557042534999994,train,2.3533294200897217
250,47.111182721000006,train,2.366196393966675
260,48.665677555,train,2.3548660278320312
270,50.21703431500001,train,2.215853691101074
280,51.769273045000006,train,2.3329126834869385
290,53.321453393,train,2.174138069152832
300,54.872785250999996,train,2.249490261077881
300,54.930354865,valid,2.1781020164489746
310,56.481517104999995,train,2.1782302856445312
320,58.036477515,train,2.1729700565338135
330,59.591691653,train,2.1615517139434814
340,61.144649703,train,2.1215243339538574
350,62.69802219100001,train,2.17283296585083
360,64.25030625800001,train,2.1708550453186035
370,65.806602076,train,2.143770933151245
380,67.358916324,train,2.072627067565918
390,68.91360547800001,train,2.1104636192321777
400,70.466867522,train,2.0426721572875977
400,70.53289398300001,valid,2.1053998470306396
410,72.087833394,train,2.0433430671691895
420,73.63992815,train,2.114109516143799
430,75.193261295,train,2.021996259689331
440,76.744514228,train,2.1076886653900146
450,78.29761718600001,train,2.0062508583068848
460,79.850567873,train,2.0265204906463623
470,81.401606042,train,2.0138919353485107
480,82.95463172800001,train,2.022451639175415
490,84.506170623,train,2.057229995727539
500,86.058367016,train,1.988157033920288
500,86.11680342700001,valid,1.9841595888137817
510,87.670423939,train,1.994065284729004
520,89.227368539,train,1.963045358657837
530,90.779620221,train,1.9563162326812744
540,92.33386354800001,train,1.9641296863555908
550,93.885395836,train,1.868912935256958
560,95.442546245,train,1.9564330577850342
570,96.994405853,train,1.9200160503387451
580,98.544407267,train,1.9057955741882324
590,100.097202706,train,1.942528247833252
600,101.656289059,train,1.8933361768722534
600,101.71639528600001,valid,1.9448673725128174
610,103.268959503,train,1.904793620109558
620,104.820886001,train,1.8610645532608032
630,106.37794345500001,train,1.897040605545044
640,107.931328492,train,1.9390437602996826
650,109.48385206900001,train,1.940965175628662
660,111.036930469,train,1.857975959777832
670,112.59323845600001,train,1.9052115678787231
680,114.145368241,train,1.9239192008972168
690,115.69767236700001,train,1.8362001180648804
700,117.250909792,train,1.8840571641921997
700,117.316055348,valid,1.9097015857696533
710,118.869561184,train,1.8804683685302734
720,120.421541266,train,1.9256634712219238
730,121.97321937800001,train,1.832453966140747
740,123.53001594300001,train,1.8869514465332031
750,125.084106877,train,1.8794360160827637
760,126.636202221,train,1.9088858366012573
770,128.189425884,train,1.8559517860412598
780,129.74528612699999,train,1.7692296504974365
790,131.296611359,train,1.7721518278121948
800,132.84837158599998,train,1.8398947715759277
800,132.90878042999998,valid,1.7512826919555664
810,134.466021458,train,1.850846529006958
820,136.023185889,train,1.8326196670532227
830,137.57614114999998,train,1.775172233581543
840,139.130775911,train,1.8490526676177979
850,140.68420909699998,train,1.7605414390563965
860,142.23659907299998,train,1.7708985805511475
870,143.787884814,train,1.8650089502334595
880,145.341613497,train,1.796891212463379
890,146.897821456,train,1.8215091228485107
900,148.45054326,train,1.7740349769592285
900,148.50972612599998,valid,1.8046889305114746
910,150.06246545099998,train,1.7753971815109253
920,151.613042638,train,1.7493786811828613
930,153.171273542,train,1.8387027978897095
940,154.724489385,train,1.7818853855133057
950,156.27742174099998,train,1.7632426023483276
960,157.82901376299998,train,1.7645949125289917
970,159.383160106,train,1.8169071674346924
980,160.93495044699998,train,1.7599875926971436
990,162.485819147,train,1.8441388607025146
1000,164.043907013,train,1.7263987064361572
1000,164.102062558,valid,1.7962563037872314
1010,165.655174282,train,1.7508070468902588
1020,167.207456518,train,1.7385236024856567
1030,168.758408998,train,1.7475876808166504
1040,170.31429280499998,train,1.7739514112472534
1050,171.865888045,train,1.775834560394287
1060,173.41784908,train,1.7394641637802124
1070,174.969629845,train,1.7482376098632812
1080,176.52628238,train,1.7936466932296753
1090,178.078155229,train,1.715549349784851
1100,179.62904136199998,train,1.6879005432128906
1100,179.687170662,valid,1.7025494575500488
1110,181.240307575,train,1.7398549318313599
1120,182.79289284799998,train,1.7294819355010986
1130,184.34438812899998,train,1.7800731658935547
1140,185.89714664,train,1.745144009590149
1150,187.45394388699998,train,1.7801852226257324
1160,189.006331187,train,1.6850271224975586
1170,190.559626275,train,1.731112003326416
1180,192.112319053,train,1.743657112121582
1190,193.670140097,train,1.7262663841247559
1200,195.22542347299998,train,1.703977108001709
1200,195.28310702099998,valid,1.7423882484436035
1210,196.836737992,train,1.7725560665130615
1220,198.389694402,train,1.7457938194274902
1230,199.941304398,train,1.730129599571228
1240,201.495098889,train,1.765774130821228
1250,203.047612736,train,1.7333887815475464
1260,204.60342262999998,train,1.7442796230316162
1270,206.15664162599998,train,1.7540862560272217
1280,207.70853368299998,train,1.7842347621917725
1290,209.26218410299998,train,1.769539713859558
1300,210.819073098,train,1.6973214149475098
1300,210.87912582799999,valid,1.7449796199798584
1310,212.433484069,train,1.6726601123809814
1320,213.985538768,train,1.713287115097046
1330,215.537311513,train,1.670569896697998
1340,217.091624097,train,1.7143287658691406
1350,218.64458845899998,train,1.6961445808410645
1360,220.196938969,train,1.6623824834823608
1370,221.754112206,train,1.6923341751098633
1380,223.305409008,train,1.7485325336456299
1390,224.85716820599998,train,1.674263834953308
1400,226.40827550199998,train,1.6836851835250854
1400,226.47509096299999,valid,1.701077938079834
