step,wallclock_seconds,split,layer,mean_l2_norm
0,9.338026597,train,0,22.627304077148438
0,9.338026597,train,1,22.62732696533203
0,9.338026597,train,2,22.627334594726562
0,9.338026597,train,3,22.627342224121094
0,9.405525977,valid,0,22.627304077148438
0,9.405525977,valid,1,22.62732696533203
0,9.405525977,valid,2,22.627334594726562
0,9.405525977,valid,3,22.627342224121094
10,10.954145243000001,train,0,22.62643814086914
10,10.954145243000001,train,1,22.627227783203125
10,10.954145243000001,train,2,22.628582000732422
10,10.954145243000001,train,3,22.630952835083008
20,12.49624083,train,0,22.62451934814453
20,12.49624083,train,1,22.629493713378906
20,12.49624083,train,2,22.63570785522461
20,12.49624083,train,3,22.661943435668945
30,14.015107897000002,train,0,22.624874114990234
30,14.015107897000002,train,1,22.62640953063965
30,14.015107897000002,train,2,22.630130767822266
30,14.015107897000002,train,3,22.717288970947266
40,15.534180151,train,0,22.61842155456543
40,15.534180151,train,1,22.621906280517578
40,15.534180151,train,2,22.62381362915039
40,15.534180151,train,3,22.8096923828125
50,17.053409346000002,train,0,22.606605529785156
50,17.053409346000002,train,1,22.61381721496582
50,17.053409346000002,train,2,22.621259689331055
50,17.053409346000002,train,3,22.930328369140625
60,18.573247396,train,0,22.59619903564453
60,18.573247396,train,1,22.606399536132812
60,18.573247396,train,2,22.617576599121094
60,18.573247396,train,3,23.062702178955078
70,20.092616687000003,train,0,22.58739471435547
70,20.092616687000003,train,1,22.598588943481445
70,20.092616687000003,train,2,22.609437942504883
70,20.092616687000003,train,3,23.193675994873047
80,21.614866377,train,0,22.579561233520508
80,21.614866377,train,1,22.591602325439453
80,21.614866377,train,2,22.59935188293457
80,21.614866377,train,3,23.318769454956055
90,23.135913811,train,0,22.57107162475586
90,23.135913811,train,1,22.584579467773438
90,23.135913811,train,2,22.588729858398438
90,23.135913811,train,3,23.436450958251953
