step,wallclock_seconds,split,loss
0,9.332535022,train,9.280145645141602
0,9.40222878,valid,9.285049438476562
10,10.950635105000002,train,8.524608612060547
20,12.491361201999998,train,7.531620979309082
30,14.011038225999998,train,6.213390350341797
40,15.530149776,train,5.184055328369141
50,17.049130575,train,4.480525970458984
60,18.568826268000002,train,4.021960258483887
70,20.088822854,train,3.7177605628967285
80,21.609473790000003,train,3.4473366737365723
90,23.131658747000003,train,3.3541107177734375
