step,wallclock_seconds,split,layer,mean_l2_norm
0,7.946102708,train,0,22.627304077148438
0,7.946102708,train,1,22.62732696533203
0,7.946102708,train,2,22.627334594726562
0,7.946102708,train,3,22.627342224121094
0,8.009656769,valid,0,22.627304077148438
0,8.009656769,valid,1,22.62732696533203
0,8.009656769,valid,2,22.627334594726562
0,8.009656769,valid,3,22.627342224121094
10,9.554184118999999,train,0,22.626270294189453
10,9.554184118999999,train,1,22.626874923706055
10,9.554184118999999,train,2,22.6286678314209
10,9.554184118999999,train,3,22.631193161010742
20,11.082827014,train,0,22.624534606933594
20,11.082827014,train,1,22.629440307617188
20,11.082827014,train,2,22.63502311706543
20,11.082827014,train,3,22.660966873168945
30,12.612156053,train,0,22.62507438659668
30,12.612156053,train,1,22.62574005126953
30,12.612156053,train,2,22.632953643798828
30,12.612156053,train,3,22.719066619873047
40,14.140678781999998,train,0,22.625076293945312
40,14.140678781999998,train,1,22.624345779418945
40,14.140678781999998,train,2,22.630687713623047
40,14.140678781999998,train,3,22.81045913696289
50,15.669796229,train,0,22.616867065429688
50,15.669796229,train,1,22.619247436523438
50,15.669796229,train,2,22.627033233642578
50,15.669796229,train,3,22.92959976196289
60,17.196837132,train,0,22.606782913208008
60,17.196837132,train,1,22.610424041748047
60,17.196837132,train,2,22.61969757080078
60,17.196837132,train,3,23.06200408935547
70,18.723830973,train,0,22.595903396606445
70,18.723830973,train,1,22.600982666015625
70,18.723830973,train,2,22.6105899810791
70,18.723830973,train,3,23.19345474243164
80,20.250086854,train,0,22.588029861450195
80,20.250086854,train,1,22.594160079956055
80,20.250086854,train,2,22.600826263427734
80,20.250086854,train,3,23.31485939025879
90,21.777802258,train,0,22.58041763305664
90,21.777802258,train,1,22.590190887451172
90,21.777802258,train,2,22.591716766357422
90,21.777802258,train,3,23.42990493774414
100,23.304093422,train,0,22.57122802734375
100,23.304093422,train,1,22.580074310302734
100,23.304093422,train,2,22.575881958007812
100,23.304093422,train,3,23.54507827758789
100,23.35615677,valid,0,22.569969177246094
100,23.35615677,valid,1,22.579275131225586
100,23.35615677,valid,2,22.575267791748047
100,23.35615677,valid,3,23.557764053344727
110,24.88242042,train,0,22.55807876586914
110,24.88242042,train,1,22.568140029907227
110,24.88242042,train,2,22.559309005737305
110,24.88242042,train,3,23.653846740722656
120,26.409027003000002,train,0,22.544292449951172
120,26.409027003000002,train,1,22.553316116333008
120,26.409027003000002,train,2,22.53807258605957
120,26.409027003000002,train,3,23.75505828857422
130,27.935661776999996,train,0,22.52749252319336
130,27.935661776999996,train,1,22.536968231201172
130,27.935661776999996,train,2,22.517337799072266
130,27.935661776999996,train,3,23.84313201904297
140,29.462958177999997,train,0,22.510101318359375
140,29.462958177999997,train,1,22.518173217773438
140,29.462958177999997,train,2,22.49518585205078
140,29.462958177999997,train,3,23.94072723388672
150,30.990369052000002,train,0,22.492868423461914
150,30.990369052000002,train,1,22.49740982055664
150,30.990369052000002,train,2,22.47405433654785
150,30.990369052000002,train,3,24.03432846069336
160,32.516427762000006,train,0,22.47365951538086
160,32.516427762000006,train,1,22.475936889648438
160,32.516427762000006,train,2,22.45318603515625
160,32.516427762000006,train,3,24.1220645904541
170,34.042179684000004,train,0,22.45755386352539
170,34.042179684000004,train,1,22.45406150817871
170,34.042179684000004,train,2,22.43185043334961
170,34.042179684000004,train,3,24.206331253051758
180,35.568630612999996,train,0,22.43927764892578
180,35.568630612999996,train,1,22.435195922851562
180,35.568630612999996,train,2,22.412328720092773
180,35.568630612999996,train,3,24.295764923095703
190,37.094785732000005,train,0,22.421058654785156
190,37.094785732000005,train,1,22.413894653320312
190,37.094785732000005,train,2,22.39167594909668
190,37.094785732000005,train,3,24.376087188720703
200,38.620333083000006,train,0,22.40280532836914
200,38.620333083000006,train,1,22.390335083007812
200,38.620333083000006,train,2,22.370052337646484
200,38.620333083000006,train,3,24.455467224121094
200,38.673038995,valid,0,22.401098251342773
200,38.673038995,valid,1,22.388038635253906
200,38.673038995,valid,2,22.367738723754883
200,38.673038995,valid,3,24.462833404541016
210,40.201081293,train,0,22.38361930847168
210,40.201081293,train,1,22.36676025390625
210,40.201081293,train,2,22.34668731689453
210,40.201081293,train,3,24.535842895507812
220,41.728468772,train,0,22.365131378173828
220,41.728468772,train,1,22.343904495239258
220,41.728468772,train,2,22.325767517089844
220,41.728468772,train,3,24.613807678222656
230,43.254686078999995,train,0,22.347915649414062
230,43.254686078999995,train,1,22.322895050048828
230,43.254686078999995,train,2,22.304710388183594
230,43.254686078999995,train,3,24.68918800354004
240,44.780629594000004,train,0,22.330608367919922
240,44.780629594000004,train,1,22.30086326599121
240,44.780629594000004,train,2,22.2840576171875
240,44.780629594000004,train,3,24.759700775146484
250,46.307270348,train,0,22.311691284179688
250,46.307270348,train,1,22.277324676513672
250,46.307270348,train,2,22.26235580444336
250,46.307270348,train,3,24.83452796936035
260,47.834779095,train,0,22.295406341552734
260,47.834779095,train,1,22.25296974182129
