step,wallclock_seconds,split,loss
0,3.267222576,train,9.266456604003906
0,3.280185273,valid,9.269088745117188
10,3.695998707,train,8.805612564086914
20,3.92398503,train,7.7178449630737305
30,4.116753848,train,6.489950180053711
40,4.289269422,train,5.3603620529174805
50,4.461829529,train,4.71809196472168
60,4.627755912,train,4.632312297821045
70,4.794621048,train,4.1745171546936035
80,4.967809365000001,train,4.1074299812316895
90,5.136545521,train,3.836127281188965
100,5.302198064000001,train,3.998063564300537
100,5.308916408,valid,3.968376636505127
110,5.478393679,train,3.7946865558624268
120,5.653293778,train,3.7395877838134766
130,5.827759930999999,train,3.5180277824401855
140,6.005174535,train,3.282864570617676
150,6.206682883999999,train,3.543731689453125
160,6.408410653000001,train,3.4428038597106934
170,6.5995701140000005,train,3.3979909420013428
180,6.774408836999999,train,3.4758572578430176
190,6.970642391,train,3.255640983581543
200,7.154417539000001,train,3.438417911529541
200,7.1621880529999995,valid,3.245100498199463
210,7.3488622679999995,train,3.2356810569763184
220,7.540927245000001,train,3.465825080871582
230,7.739468943,train,3.434060573577881
240,7.937091112999999,train,3.380162239074707
250,8.131705758,train,3.1887474060058594
260,8.329030789,train,3.0523242950439453
270,8.528009869,train,2.948054790496826
280,8.720945366,train,2.8367362022399902
290,8.916715553,train,2.982651948928833
300,9.100279206,train,2.989452838897705
300,9.107897304,valid,3.231929302215576
310,9.303905423,train,3.0089950561523438
320,9.496160207,train,3.1242713928222656
330,9.692328257,train,2.7450625896453857
340,9.892928104,train,2.9860334396362305
350,10.087332392,train,3.149538516998291
360,10.281445393,train,3.215580940246582
370,10.471844345000001,train,2.770477294921875
380,10.659218146,train,3.1425957679748535
390,10.845726112,train,3.0327236652374268
400,11.025680478,train,2.9792227745056152
400,11.032391641,valid,2.6895296573638916
410,11.220870311,train,2.711081027984619
420,11.416117915000001,train,3.0922632217407227
430,11.599795494,train,2.70330548286438
440,11.779086373,train,2.799309492111206
450,11.96635239,train,2.6392722129821777
460,12.156694986,train,2.5553390979766846
470,12.337612039,train,2.843031644821167
480,12.524570870000002,train,2.8989615440368652
490,12.725703478,train,2.5642194747924805
500,12.920277106,train,2.5184340476989746
500,12.926931366000002,valid,2.859417200088501
510,13.115663716,train,3.2505416870117188
520,13.297025637,train,2.6497950553894043
530,13.487718654999998,train,3.1564979553222656
540,13.678573475,train,2.9297916889190674
550,13.875498976,train,2.700860023498535
560,14.074332963,train,2.5843586921691895
570,14.255302134,train,2.876424551010132
580,14.442847855,train,2.8778023719787598
590,14.621870986000001,train,2.7899763584136963
600,14.805497512999999,train,2.8753321170806885
600,14.812874374,valid,2.5888564586639404
610,14.99739468,train,2.772874355316162
620,15.190910460000001,train,2.846860408782959
630,15.379710718999998,train,2.8517258167266846
640,15.565524411999998,train,2.654308795928955
650,15.760660061,train,2.5648226737976074
660,15.946638329999999,train,2.89928936958313
670,16.128903305,train,2.5069518089294434
680,16.316021724,train,2.767652988433838
690,16.505039764,train,2.634053945541382
700,16.695374844,train,2.472397804260254
700,16.702711618,valid,2.673907518386841
710,16.897429372,train,2.690657377243042
720,17.085078586,train,2.546640634536743
730,17.264264857,train,2.930696487426758
740,17.458626251,train,2.6267547607421875
750,17.643255505,train,2.48480486869812
760,17.833221639,train,2.975872278213501
770,18.0203718,train,2.789867401123047
780,18.207608932,train,2.6126315593719482
790,18.39173821,train,2.475518226623535
800,18.594853757,train,2.888516426086426
800,18.602479438,valid,2.750819206237793
810,18.794726056000002,train,2.749758720397949
820,18.994839248,train,2.8977980613708496
830,19.181149303,train,2.5615921020507812
840,19.360747043,train,2.4750399589538574
850,19.558298419,train,2.5392532348632812
860,19.751383214,train,2.48089337348938
870,19.952393041,train,2.684023380279541
880,20.143490982,train,2.4450767040252686
890,20.329694344,train,2.4661669731140137
900,20.508171296,train,2.5333497524261475
900,20.515153418,valid,2.784278392791748
910,20.70586904,train,2.564668655395508
920,20.884642307,train,2.602107048034668
930,21.064244872,train,2.6050806045532227
940,21.263603647,train,2.4797754287719727
950,21.460404594,train,2.7234206199645996
960,21.658245532,train,2.5535073280334473
970,21.854924241,train,2.6811676025390625
