step,wallclock_seconds,split,loss
0,6.775680749,train,9.24605655670166
0,6.846231039,valid,8.17723274230957
10,8.430770892999998,train,4.974445343017578
20,9.984862858,train,4.2310471534729
30,11.53573309,train,3.91715145111084
40,13.088135722,train,3.690185546875
50,14.640771305000001,train,3.5397205352783203
60,16.193654295,train,3.4016494750976562
70,17.746972934000002,train,3.220703125
80,19.300601665000002,train,3.245864152908325
90,20.854560334000002,train,3.1230578422546387
100,22.409375925,train,3.103459358215332
100,22.462789826,valid,3.0585148334503174
110,24.0173194,train,3.0361266136169434
120,25.572738641,train,2.999053955078125
130,27.127659502,train,2.8570921421051025
140,28.684753559999997,train,2.846292734146118
150,30.244085971000004,train,2.831489086151123
160,31.801843685,train,2.734180212020874
170,33.360981235000004,train,2.6892027854919434
180,34.91908052,train,2.6319265365600586
190,36.478324638000004,train,2.5654797554016113
200,38.037430397,train,2.575713634490967
200,38.091822585,valid,2.536282777786255
210,39.653547472,train,2.532443046569824
220,41.213976099,train,2.5039310455322266
230,42.776200206,train,2.507202625274658
240,44.336333659,train,2.453805923461914
250,45.899313606,train,2.4926652908325195
260,47.462664361,train,2.442348003387451
270,49.025426367,train,2.395256996154785
280,50.586828792,train,2.366523265838623
290,52.149259798,train,2.3549482822418213
300,53.711580316,train,2.3472402095794678
300,53.765518596,valid,2.326249122619629
310,55.329219497000004,train,2.302401065826416
320,56.893067378000005,train,2.3133087158203125
330,58.457240795,train,2.2525668144226074
340,60.02053363300001,train,2.312462329864502
350,61.58374108100001,train,2.3353936672210693
360,63.147953648000005,train,2.303915500640869
370,64.71447828299999,train,2.3411569595336914
380,66.27902019499999,train,2.273379325866699
390,67.84271316099999,train,2.2307305335998535
400,69.407614316,train,2.219360113143921
400,69.46732924999999,valid,2.223405361175537
410,71.031468306,train,2.2235300540924072
420,72.59535548999999,train,2.200357675552368
430,74.16007868599999,train,2.250539779663086
440,75.725721563,train,2.206007957458496
450,77.28970541999999,train,2.243586778640747
460,78.855301938,train,2.2714290618896484
470,80.41953118999999,train,2.2141668796539307
480,81.983756637,train,2.2589731216430664
490,83.547897685,train,2.186744451522827
500,85.11119861799999,train,2.226006507873535
500,85.165322045,valid,2.198633909225464
510,86.72819401299999,train,2.144426107406616
520,88.29162072199999,train,2.1859560012817383
530,89.85464961999999,train,2.176320791244507
540,91.419243203,train,2.0864579677581787
550,92.98364455999999,train,2.1838786602020264
560,94.546474073,train,2.124113082885742
570,96.11135211499999,train,2.2007107734680176
580,97.673934652,train,2.1612813472747803
590,99.23424077099999,train,2.222665309906006
600,100.79424080099999,train,2.1743783950805664
600,100.84834086999999,valid,2.0956435203552246
610,102.40957775599999,train,2.2081775665283203
620,103.971160321,train,2.167996406555176
630,105.53352931699999,train,2.165426731109619
640,107.093435254,train,2.240569829940796
650,108.653895005,train,2.168755054473877
660,110.211942262,train,2.1892361640930176
670,111.77168401899999,train,2.1920409202575684
680,113.333260215,train,2.173097610473633
690,114.89234110199999,train,2.168881893157959
700,116.452430497,train,2.1740479469299316
700,116.506581247,valid,2.109567880630493
710,118.06684709599999,train,2.139523506164551
720,119.625698346,train,2.18361759185791
730,121.183147024,train,2.1774003505706787
740,122.74171328599999,train,2.161574363708496
750,124.298856575,train,2.2010703086853027
760,125.857154211,train,2.0591225624084473
770,127.413829711,train,2.164029359817505
780,128.97155269799998,train,2.1987359523773193
790,130.529581389,train,2.173957586288452
800,132.088077078,train,2.1491284370422363
800,132.143671246,valid,2.1969761848449707
810,133.702297623,train,2.099241256713867
820,135.260657545,train,2.174419403076172
830,136.817168209,train,2.0989608764648438
840,138.37461052199998,train,2.1309828758239746
850,139.93190661699998,train,2.16939115524292
860,141.490888115,train,2.1660590171813965
870,143.04857268,train,2.1383004188537598
880,144.605447522,train,2.0676112174987793
890,146.161729273,train,2.1258411407470703
900,147.718724862,train,2.160162925720215
900,147.775143513,valid,2.1368813514709473
