step,wallclock_seconds,split,loss
0,2.548136305,train,9.248132705688477
0,2.6009310899999996,valid,9.250452041625977
10,4.145059827,train,6.871767044067383
20,5.6903320829999995,train,5.901424884796143
30,7.240930693,train,5.414955139160156
40,8.792710562,train,4.66287088394165
50,10.343506184999999,train,4.301946640014648
60,11.891817685,train,4.159891605377197
70,13.438157919999998,train,4.081423759460449
80,14.983587614000001,train,4.0440778732299805
90,16.532700535,train,4.14445686340332
100,18.078126598,train,4.033290863037109
100,18.128848616,valid,4.080258369445801
110,19.6757136,train,3.994321584701538
120,21.225325545,train,4.004316806793213
130,22.774377963,train,3.991241455078125
140,24.320879275,train,4.104293346405029
150,25.868009154,train,4.402803421020508
160,27.41208738,train,4.405784606933594
170,28.956355658,train,4.410953521728516
180,30.499895735,train,4.310881614685059
190,32.043096829999996,train,4.2736358642578125
200,33.585461400999996,train,4.277219772338867
200,33.636022178,valid,4.312341213226318
210,35.177380713999995,train,4.278482437133789
220,36.720265454,train,4.238096237182617
230,38.262913348999994,train,4.1733880043029785
240,39.805995665,train,4.369822025299072
250,41.349833483,train,4.143908500671387
260,42.893433806999994,train,4.1436614990234375
270,44.435818899999994,train,4.116426944732666
280,45.978848129999996,train,4.142450332641602
290,47.520821514999994,train,4.195547103881836
300,49.062415312,train,4.152726173400879
300,49.113002437,valid,4.221911430358887
310,50.655227851999996,train,4.106380462646484
320,52.197847458999995,train,4.289916038513184
330,53.739265775999996,train,4.149158954620361
340,55.280838007,train,4.302342891693115
350,56.822121982999995,train,4.260211944580078
360,58.363665182,train,4.131181240081787
370,59.906873122,train,4.421346664428711
380,61.448429667999996,train,4.198430061340332
390,62.991487631999995,train,4.072902679443359
400,64.534522029,train,4.05648946762085
400,64.58509149300001,valid,4.1455230712890625
410,66.126757028,train,4.102610111236572
420,67.669121703,train,4.098529815673828
430,69.21023489000001,train,4.206330299377441
440,70.751632145,train,4.237366676330566
450,72.292566398,train,4.154017448425293
460,73.833817588,train,4.075177192687988
470,75.37529755700001,train,4.154837608337402
480,76.918713956,train,3.9984192848205566
490,78.460910274,train,4.083724021911621
500,80.00380598800001,train,4.123502731323242
500,80.054611517,valid,4.12995719909668
510,81.597421585,train,4.030119895935059
520,83.141142302,train,4.109930038452148
530,84.683426189,train,4.105522155761719
540,86.229221612,train,4.121569633483887
550,87.77149728100001,train,4.025803565979004
560,89.314290685,train,4.080595016479492
570,90.85603287800001,train,4.325536727905273
580,92.397862308,train,4.197683811187744
590,93.939620714,train,4.1256585121154785
600,95.481019831,train,4.051674842834473
600,95.53151792300001,valid,4.074073791503906
610,97.076694345,train,4.058495998382568
620,98.619455349,train,4.026411056518555
630,100.162157655,train,4.0674848556518555
640,101.705345304,train,3.9911794662475586
650,103.247880706,train,4.0238518714904785
660,104.790798436,train,4.009507179260254
670,106.334536682,train,4.042538166046143
680,107.876339426,train,4.0354838371276855
690,109.418649629,train,4.060583114624023
700,110.961039658,train,4.063815593719482
700,111.01205722200001,valid,4.044651031494141
710,112.554841796,train,4.078751564025879
720,114.09722047400001,train,4.31005859375
730,115.63943305800001,train,4.254467487335205
740,117.182450008,train,4.158637046813965
750,118.7247183,train,4.095509052276611
760,120.266596069,train,4.156542778015137
770,121.808716751,train,4.802440166473389
780,123.350571181,train,4.806880950927734
790,124.892541804,train,4.871580123901367
800,126.434614561,train,4.557101249694824
800,126.48530264700001,valid,4.569461345672607
810,128.02755288499998,train,4.407134532928467
820,129.5715682,train,4.339696407318115
830,131.11340472499998,train,4.225386142730713
840,132.65587859299998,train,4.220956802368164
850,134.19961188,train,4.178723335266113
860,135.741379135,train,4.2019853591918945
870,137.283181362,train,4.213739395141602
880,138.82585745999998,train,4.026561737060547
890,140.367904679,train,4.20142936706543
900,141.91240301399998,train,4.171962738037109
900,141.96454611,valid,4.218602180480957
910,143.50656925799998,train,4.142290115356445
920,145.04990852699999,train,4.1816558837890625
930,146.59294514599998,train,4.110612869262695
940,148.13921878399998,train,4.113971710205078
950,149.681184374,train,4.06972599029541
960,151.223559076,train,4.129270553588867
970,152.765459308,train,4.144796371459961
980,154.30785055599998,train,4.079719066619873
990,155.849663417,train,4.012381553649902
1000,157.39390495199999,train,4.069456100463867
1000,157.444484145,valid,4.029546737670898
1010,158.98982983,train,3.9859824180603027
1020,160.534154737,train,4.105859756469727
1030,162.078633653,train,4.1142754554748535
1040,163.624393817,train,4.044379234313965
1050,165.16737518899998,train,4.069110870361328
1060,166.710072561,train,4.029313087463379
1070,168.252833135,train,4.090824127197266
1080,169.79797602699998,train,4.086894989013672
1090,171.340905658,train,4.036279678344727
1100,172.883398409,train,4.0672607421875
1100,172.934246438,valid,4.039178848266602
1110,174.47687460199998,train,4.045167922973633
1120,176.019568733,train,4.059544563293457
1130,177.56321901799998,train,3.9653100967407227
1140,179.106090986,train,3.9522571563720703
1150,180.648997737,train,3.954221725463867
1160,182.19110324099998,train,3.967613697052002
1170,183.733923552,train,3.9051952362060547
1180,185.276823146,train,4.046483039855957
1190,186.819544759,train,4.084819793701172
1200,188.36216822499998,train,4.138891220092773
1200,188.41342696799998,valid,4.084830284118652
1210,189.956866069,train,4.099587440490723
1220,191.500097079,train,4.1422014236450195
1230,193.043106198,train,4.150204658508301
1240,194.585908712,train,4.246464729309082
1250,196.130379624,train,4.093473434448242
1260,197.67341850399998,train,4.117090225219727
1270,199.21722820899998,train,4.09725284576416
1280,200.760542217,train,4.121186256408691
1290,202.30404074499998,train,4.024418354034424
1300,203.847001063,train,4.14304780960083
1300,203.89753895299998,valid,4.067133903503418
1310,205.440504157,train,4.065617561340332
1320,206.98276925599998,train,4.1190338134765625
1330,208.525997618,train,4.056700706481934
1340,210.06846607999998,train,4.142992973327637
1350,211.611328684,train,4.30922794342041
1360,213.15349052,train,4.171016693115234
1370,214.69644629599998,train,4.118218421936035
1380,216.23893574,train,4.075375080108643
1390,217.781425165,train,4.2164716720581055
1400,219.324170106,train,4.13661003112793
1400,219.374993771,valid,4.120020389556885
1410,220.91766845799998,train,4.2999162673950195
1420,222.46096723899998,train,4.167642593383789
1430,224.004448603,train,4.198248386383057
1440,225.54753796699998,train,4.125283241271973
1450,227.090135216,train,4.127719879150391
