step,wallclock_seconds,split,loss
0,2.0890421980000005,train,9.25125503540039
0,2.142039165,valid,9.252989768981934
10,3.69445304,train,8.664756774902344
20,5.234104565,train,7.457491397857666
30,6.774850299,train,6.075031280517578
40,8.314965894,train,5.024600982666016
50,9.855674895,train,4.354124546051025
60,11.395717839,train,3.9476656913757324
70,12.935925408,train,3.6177568435668945
80,14.477105245,train,3.501929998397827
90,16.019060608,train,3.293426513671875
100,17.559575512,train,3.152773380279541
100,17.610048366,valid,3.125033140182495
110,19.152972714,train,3.0783042907714844
120,20.698134043,train,2.951984405517578
130,22.238162033,train,2.828810453414917
140,23.777314953999998,train,2.8164045810699463
150,25.316522483,train,2.7878589630126953
160,26.855964915999998,train,2.6661338806152344
170,28.395853999,train,2.6197733879089355
180,29.935290081999998,train,2.5775418281555176
190,31.474889633,train,2.539114475250244
200,33.01474453,train,2.476243019104004
200,33.065926401000006,valid,2.4872994422912598
210,34.610245525,train,2.433058738708496
220,36.154961087000004,train,2.36653995513916
230,37.700924461,train,2.4357662200927734
240,39.250234112,train,2.3656272888183594
250,40.796102297000004,train,2.3351426124572754
260,42.340604559000006,train,2.3179550170898438
270,43.883540494,train,2.2984185218811035
280,45.428749392,train,2.277980327606201
290,46.971556476,train,2.2904164791107178
300,48.514481411000006,train,2.201693058013916
300,48.565335357,valid,2.2150237560272217
310,50.109841922,train,2.201447010040283
320,51.655242987,train,2.187037467956543
330,53.201077722,train,2.152657985687256
340,54.743786157,train,2.185147523880005
350,56.288528765,train,2.134610176086426
360,57.831649341,train,2.0716195106506348
370,59.376899938,train,2.1619179248809814
380,60.921772936,train,2.1751413345336914
390,62.472154597,train,2.1146888732910156
400,64.019880257,train,2.0946226119995117
400,64.071175944,valid,2.0769567489624023
410,65.619571127,train,2.0309362411499023
420,67.16398869300001,train,2.095029830932617
430,68.708525906,train,2.0448315143585205
440,70.252734054,train,2.075989246368408
450,71.797254546,train,2.079002857208252
460,73.339255941,train,1.9730863571166992
470,74.881375236,train,2.0539817810058594
480,76.42145796700001,train,2.001680612564087
490,77.962744885,train,2.0027825832366943
500,79.504425625,train,1.9707865715026855
500,79.55504571600001,valid,1.966801404953003
510,81.095901729,train,1.931111454963684
520,82.637025725,train,1.9529287815093994
530,84.17801304,train,1.9366369247436523
540,85.718325492,train,1.9544456005096436
550,87.259239366,train,1.9451366662979126
560,88.800277865,train,1.9219162464141846
570,90.342049797,train,1.9410457611083984
580,91.882930035,train,1.8986161947250366
590,93.42362202,train,1.9447108507156372
600,94.964171518,train,1.8736377954483032
600,95.01617813200001,valid,1.9285566806793213
610,96.55744203,train,1.9242479801177979
620,98.098418184,train,1.888100028038025
630,99.6397977,train,1.8972347974777222
640,101.18081142700001,train,1.908806562423706
650,102.72252800300001,train,1.9123239517211914
660,104.264108831,train,1.838354468345642
670,105.805242426,train,1.8776090145111084
680,107.346298671,train,1.8917052745819092
690,108.889049685,train,1.8715136051177979
700,110.431181839,train,1.8259073495864868
700,110.482109904,valid,1.8251636028289795
710,112.023362862,train,1.850604772567749
720,113.565324312,train,1.8007214069366455
730,115.107831631,train,1.8749686479568481
740,116.651115672,train,1.7892420291900635
750,118.19345064000001,train,1.8708982467651367
760,119.736877103,train,1.8055944442749023
770,121.27981864600001,train,1.8019530773162842
780,122.821966382,train,1.8452057838439941
790,124.366009374,train,1.8011271953582764
800,125.907864125,train,1.8041176795959473
800,125.958293728,valid,1.8077583312988281
810,127.50059755900001,train,1.8025270700454712
820,129.042124785,train,1.8108747005462646
830,130.584092231,train,1.7743194103240967
840,132.13049558499998,train,1.773719072341919
850,133.67388092099998,train,1.7837127447128296
860,135.217280669,train,1.8086750507354736
870,136.761543671,train,1.8103618621826172
880,138.30457144399998,train,1.7888431549072266
890,139.84585228699999,train,1.8810838460922241
900,141.387686829,train,1.7725136280059814
900,141.438552954,valid,1.846744418144226
910,142.98200225699998,train,1.7705965042114258
920,144.52671039499998,train,1.7356189489364624
930,146.068107433,train,1.7827985286712646
940,147.61175007999998,train,1.7728301286697388
950,149.15529453699997,train,1.7451971769332886
960,150.69645704799998,train,1.7627605199813843
970,152.239004433,train,1.7033965587615967
980,153.781927059,train,1.8049067258834839
990,155.323806645,train,1.7398511171340942
