step,wallclock_seconds,split,loss
0,2.0545655760000003,train,9.295138359069824
0,2.1071205580000005,valid,8.622869491577148
10,3.654733026,train,4.9203596115112305
20,5.190736618000001,train,3.961667537689209
30,6.727250972,train,3.7308061122894287
40,8.266213626,train,3.5327539443969727
50,9.803342318,train,3.421976327896118
60,11.338933646000001,train,3.2660505771636963
70,12.87467119,train,3.11971378326416
80,14.409867356000001,train,3.0383872985839844
90,15.945800096000001,train,2.9636216163635254
100,17.481126657999997,train,2.8827364444732666
100,17.531004224,valid,2.7495174407958984
110,19.066569611,train,2.7225565910339355
120,20.602956216,train,2.75819993019104
130,22.138675379,train,2.589763641357422
140,23.673979066999998,train,2.5899887084960938
150,25.209194077,train,2.540374279022217
160,26.745924122999998,train,2.5805418491363525
170,28.281800619,train,2.472527503967285
180,29.817704222,train,2.543830633163452
190,31.353270120999998,train,2.440328598022461
200,32.889569384000005,train,2.409348964691162
200,32.939674076,valid,2.4004645347595215
210,34.475552321,train,2.3505420684814453
220,36.013075455,train,2.3554248809814453
230,37.548507809,train,2.337808132171631
240,39.085785967,train,2.3281021118164062
250,40.623418449,train,2.2802414894104004
260,42.159101138000004,train,2.247481107711792
270,43.696618589,train,2.241203784942627
280,45.232431874,train,2.211097478866577
290,46.768718531000005,train,2.225033760070801
300,48.304688379000005,train,2.249354124069214
300,48.355252672,valid,2.2112538814544678
310,49.891521117,train,2.1675145626068115
320,51.427224975,train,2.2382421493530273
330,52.964340636,train,2.180741310119629
340,54.500394042,train,2.1971311569213867
350,56.036843272000006,train,2.0517144203186035
360,57.572769986000004,train,2.0691654682159424
370,59.108883296,train,2.136031150817871
380,60.644722172,train,2.100353479385376
390,62.180903844,train,2.0578813552856445
400,63.71866895000001,train,2.0283608436584473
400,63.768876399999996,valid,2.074205160140991
410,65.30509937400001,train,2.036957263946533
420,66.841112909,train,2.0306177139282227
430,68.376875707,train,2.01076078414917
440,69.912823141,train,1.984795093536377
450,71.449307554,train,1.983694076538086
460,72.985609471,train,2.041980266571045
470,74.521352122,train,1.949097990989685
480,76.056587577,train,1.9040249586105347
490,77.59188924600001,train,1.9689452648162842
500,79.128433697,train,1.9529392719268799
500,79.178767635,valid,2.0268707275390625
