step,wallclock_seconds,split,loss
0,0.00013637507800012827,train,3.14159
0,1.1645420410204679,train,9.224535942077637
0,1.25914737500716,valid,tensor(8.6517)
10,4.891916583059356,train,5.063567161560059
20,8.334817665978335,train,5.097673416137695
30,11.656773958005942,train,4.545285701751709
40,15.215653375023976,train,4.615818023681641
50,18.7725366250379,train,4.0324931144714355
60,22.30384791607503,train,3.777855396270752
70,25.87254504102748,train,3.9106199741363525
80,29.559554415987805,train,3.7368621826171875
90,33.250404833001085,train,3.750603199005127
