step,wallclock_seconds,split,loss
0,1.2247933340258896,train,12.336963653564453
0,1.2572820000350475,valid,12.286541938781738
10,2.323381584021263,train,16.5625
20,2.9986364169744775,train,11.00838851928711
30,3.6664090000558645,train,8.42894458770752
40,4.330481542041525,train,6.624947547912598
50,5.035324417054653,train,6.085993766784668
60,5.692507417057641,train,5.527834892272949
70,6.367268125060946,train,5.2395195960998535
80,7.052510875044391,train,5.332054615020752
90,7.722862584050745,train,5.415630340576172
